Gene	High.2838c3.rep1.RNAseq.mm10.featureCounts.gene.txt	High_6499c4.rep2.RNAseq.mm10.featureCounts.gene.txt	High_6555c3.rep5.RNAseq.mm10.featureCounts.gene.txt	High_6556c4.rep7.RNAseq.mm10.featureCounts.gene.txt	High_6620c1.rep3.RNAseq.mm10.featureCounts.gene.txt	Low.6694c2.rep3.RNAseq.mm10.featureCounts.gene.txt	Low_2699c4.rep8.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep5.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep6.RNAseq.mm10.featureCounts.gene.txt	Low_6694c2.rep7.RNAseq.mm10.featureCounts.gene.txt
Sfn	539	570	507	455	660	504	184	805	754	662
Cpq	2134	744	988	572	1065	755	101	965	378	229
Tcstv1	6	0	8	0	0	4	0	4	0	0
Nme6	968	633	686	365	643	759	168	905	639	511
Apba3	4084	2072	2710	1847	2638	3107	394	2663	2049	2012
Zfp326	4383	1761	2422	1222	2252	3616	556	2362	2181	2703
Ctnnal1	2330	1356	1448	908	1786	2934	245	2693	2313	1753
Gp9	28	4	51	6	2	3	0	6	4	1
Chst2	970	646	818	393	773	812	90	871	205	341
Wbp4	5749	2028	2533	1590	2547	7147	628	4440	4263	4894
Ntsr1	0	0	0	0	0	0	0	0	0	2
Gsdme	1311	378	363	257	431	1036	110	1045	959	667
Gipc1	7945	4603	5246	3170	5710	9604	1554	7216	6102	8730
Skap2	5883	2312	2657	1738	2981	5351	777	4752	3757	3747
Cldn6	17337	12654	14997	9145	15263	4040	1832	8775	5741	267
Cldn8	6	0	8	10	12	2	4	14	2	0
Pde3a	1884	1345	1781	993	1679	478	161	463	36	10
Sfrp5	23	22	25	6	8	11	4	7	2	2
Calcrl	1083	474	909	354	794	602	121	925	176	900
Tfip11	8598	4166	4721	3020	5075	6551	863	4732	3776	4699
Npff	142	99	92	69	87	93	17	57	65	45
Foxo4	3799	1364	1992	1262	2065	3779	461	2039	1759	2350
Zfp108	174	42	64	40	62	88	10	74	59	43
Hils1	20	2	0	2	13	10	8	8	6	0
Abcc6	1542	1040	1403	877	1327	364	153	214	10	3
Eef1b2	63294	27611	33087	19971	34972	74406	12090	65358	45083	49562
Plxnc1	837	596	854	480	719	338	71	635	113	78
Ubqln2	5812	2650	3268	1662	3580	10083	1004	4288	4071	5763
Eif3i	12463	7235	8339	5295	8767	12339	2122	11236	6938	8561
Syt10	0	0	0	2	0	0	0	0	0	0
Syt11	4088	1151	1473	890	1655	2811	312	1168	2200	2371
Hs3st3b1	1823	1373	1779	890	1550	643	141	652	90	66
Plagl2	4573	1716	2058	1234	2292	4840	466	2090	1851	2138
Ptf1a	0	0	0	0	0	0	0	0	0	0
Abhd2	20721	11128	13419	7588	14041	32628	2000	14515	14176	22988
Pcnx	6961	4081	4935	2862	5060	8532	1153	5082	4570	4658
Nup210	2409	1697	1919	1205	2079	1677	553	1969	1527	1143
Apom	1858	1337	1744	932	1669	503	155	299	8	6
Smarcal1	2743	1449	1569	981	1597	3261	442	2712	2686	1985
Sertad1	2992	1911	2323	1224	2159	4519	346	2280	1485	2490
Socs6	10063	3519	4279	2494	4755	8646	1264	6360	5469	7248
Sgsh	835	576	701	370	696	992	105	603	454	572
Irx5	1062	434	480	314	718	2859	240	271	80	1906
Fnbp4	9678	4921	6198	3466	6369	8889	1461	6072	4503	4592
Ap3m1	4711	2452	2733	1529	2918	4612	710	5177	2692	2930
Asah2	2902	822	1079	606	1127	1241	265	1615	1458	1062
Magix	112	112	131	72	118	41	3	61	23	11
Rplp1	84871	56638	66505	40270	66472	97350	14245	87980	48144	48759
Ift20	3523	1618	2341	1092	2133	3104	459	2963	2591	2242
Gas8	4647	1696	2004	1258	2258	3410	478	2417	2657	3060
Pebp1	18228	8656	11198	6985	12490	17694	2789	14696	11867	12131
Akr1e1	2217	721	912	592	1038	2248	425	1054	867	1286
Rpl41	77896	34916	42333	27311	42318	43973	9740	49753	43651	39750
Slc1a4	4281	2295	2993	1598	3096	5503	707	2985	2295	2811
Ccn4	1049	898	1070	645	969	1321	96	1471	317	504
Cxcl13	1192	732	1073	459	919	244	62	231	8	13
Cpxm2	993	994	1232	1034	1569	296	133	674	90	60
Nop58	13429	4473	6139	3157	6126	9831	2782	14318	12584	9802
Grk5	1228	724	1043	528	1027	1767	174	2926	1846	1442
Pgam2	1207	780	1086	674	1029	311	114	223	72	63
Ywhag	41939	19449	24137	14546	24400	57350	7899	28004	28271	42059
Tmem131	13181	6369	8131	5054	8388	14212	2406	11693	9770	8863
Srcin1	22	10	17	4	24	10	2	4	0	0
Pnliprp1	10	4	16	0	0	0	0	6	0	0
Paxip1	6526	3865	4606	2742	4536	5488	848	4304	2991	3687
Nprl2	1215	646	735	430	799	1568	202	1124	809	984
Pdzrn3	1626	1223	1396	984	1552	411	96	1212	422	20
Irx4	140	80	136	80	88	28	14	16	0	0
Pigb	421	302	281	227	408	451	82	333	260	251
Cd86	410	355	294	255	389	417	33	641	77	95
Exosc9	2932	1292	1654	922	1597	2418	436	2568	2109	1625
Mia	12	12	30	8	16	16	0	12	12	4
Fbp1	3827	2923	3762	1762	3264	907	302	621	4	2
Egfl6	26	2	0	0	20	2	0	6	2	0
Rnase2b	0	0	0	0	0	0	0	8	0	0
Pabpn1	14907	7340	9073	5566	8485	21605	2310	13087	14247	20300
Rnf5	5556	1862	2182	1268	2594	4524	567	2866	3533	4111
Cetn2	2665	1108	1321	933	1444	2545	350	2003	1589	1719
Omg	7	0	2	12	6	12	0	5	0	0
Pfn2	1324	686	811	484	857	720	150	494	422	383
Ppp2ca	26599	9629	12470	6640	13699	25359	3562	20137	11809	15268
Prx	970	496	559	306	660	1303	89	503	584	647
Robo1	1328	434	528	326	474	258	54	423	68	138
Selenbp2	1092	787	966	587	964	246	93	174	96	29
Pdlim4	776	663	691	654	815	2899	72	515	521	1886
Tnfsf14	116	154	160	96	158	106	4	431	47	30
Arl6ip1	13876	5916	7230	4301	7929	15702	1503	11545	7237	9608
B3galt4	394	285	236	249	313	272	42	327	165	166
Gnpnat1	3905	1688	2168	1104	2016	4572	579	3233	1926	2402
Atf7ip	7029	3442	3829	2287	4130	8414	1352	4203	3103	4991
Rpp30	2651	854	1072	525	1102	1784	339	1941	1514	1687
Prss16	46	44	29	22	63	91	8	159	103	55
Cacng3	12	0	0	6	6	2	0	0	0	0
Cacng4	6	12	2	6	4	2	0	30	10	0
Tmem37	1392	1124	1267	596	1271	662	128	692	198	133
Mcm3ap	6362	3628	4511	2735	4507	4927	822	4071	3006	2932
Sit1	10	12	14	4	6	0	0	14	6	0
Rfk	9430	5030	6293	3586	6656	11393	1246	10428	7067	7390
Ncapg	2395	1123	1479	783	1258	2006	402	3151	1753	2050
Gabbr1	6377	3445	4291	2516	4809	5581	790	3092	2452	4853
Irgm2	1682	607	671	496	586	922	136	1004	952	567
Stk19	2027	1273	1499	931	1702	1755	290	1602	1300	1402
Ndufa1	3102	1484	1878	1045	1888	1909	308	1421	1438	1574
Ramp2	729	470	623	334	542	149	69	560	54	7
Fmn2	60	43	67	24	46	4	12	32	2	0
Hgfac	6184	4402	5218	3300	5078	6768	1285	6300	4879	4483
Il1f6	0	0	0	6	0	2	0	0	2	0
Dll4	1694	746	771	468	972	1745	432	1923	600	1652
Hpgds	221	204	233	147	287	262	20	283	177	166
Apbb1ip	808	584	766	515	852	664	146	1751	155	170
Lrrc6	10	0	0	2	4	0	0	0	4	0
Paf1	7085	2525	2950	1904	3448	5105	666	3779	3083	3479
Nphs1	0	0	0	0	0	0	0	1	0	0
Usp27x	563	212	211	108	260	766	81	339	352	394
G6pd2	6	0	2	0	4	6	0	2	2	0
Mmp10	4664	391	398	266	477	5243	342	325	74	2327
Olfr155	0	0	0	0	0	0	0	0	0	0
Olfr156	0	0	0	0	0	0	0	0	0	0
Olfr157	0	0	0	0	0	0	0	0	0	0
Olfr159	4	0	0	0	0	0	0	0	0	0
Slc13a1	0	0	0	0	0	2	0	0	0	0
Panx1	1368	846	851	584	1125	1775	182	1634	1307	1114
Smad9	230	183	243	98	272	52	16	58	0	0
Alyref2	278	138	128	114	194	198	26	170	217	148
Olfr70	0	0	0	0	0	4	0	0	2	0
Olfr71	0	0	0	0	0	0	0	0	0	0
Hebp2	110	120	72	24	110	252	24	260	164	134
Ppie	3292	1598	1732	1008	2191	3361	417	3415	2683	2666
Uso1	14666	6909	8884	4812	9011	11883	1995	8731	5452	8302
Rala	10626	3118	4165	2226	4477	12394	1679	9903	8267	9621
Btg4	0	0	0	0	0	0	0	0	0	0
Cxcl11	85	32	12	26	26	40	16	63	87	13
Ammecr1	4440	2008	2595	1418	2680	4747	710	3499	3040	3729
Fxyd1	2382	1536	1804	1037	1920	596	213	386	6	2
Gdf2	212	112	202	92	160	26	18	20	0	0
Tbx21	2	0	4	4	0	2	2	6	0	0
Il17b	0	0	0	0	0	0	0	0	0	0
Trpc3	196	56	69	36	74	29	6	55	0	0
Ramp3	381	324	384	215	413	228	54	401	540	120
Astn2	20	8	16	12	26	8	2	2	2	0
Nmu	10	0	8	10	2	1	2	4	2	0
Bace2	2674	1080	1256	708	1346	988	1344	4062	2807	423
Grasp	1904	1368	1438	1003	1543	3977	459	2927	3099	2223
Gas6	7342	5461	6530	4203	6794	4617	582	4838	1941	1647
Sh3gl2	12	16	46	30	20	14	0	4	4	0
Dnah10	55	25	25	22	33	12	0	5	4	14
Psmg1	1998	1154	1154	769	1500	1851	588	1672	1517	1133
Pfpl	0	0	0	0	1	0	0	0	0	0
Cts8	0	0	0	0	0	0	0	0	0	0
Msgn1	0	7	0	0	0	0	0	0	0	0
Hao2	10	35	14	8	30	4	6	0	0	0
Prodh2	738	500	575	408	647	167	45	107	0	0
Rbm38	2009	1138	1449	802	1370	1977	262	1199	657	1268
Plek	2844	2274	2420	1592	2736	2766	197	7325	685	820
Tdp2	3333	1272	1626	962	1859	3858	538	2619	2686	2438
Abcb10	3802	2016	2950	1405	2671	3914	456	2261	1804	2569
Ddx21	17280	8407	10541	5785	10960	12628	3215	14333	9453	8569
Cited4	153	152	206	152	158	30	6	60	28	24
Htra1	6099	3349	3948	2366	4694	5943	386	1936	1045	3915
Rhog	2968	2085	2256	1497	2441	4461	422	4172	1801	2481
Cxcl14	3417	2882	3320	2065	3537	1232	261	9153	778	115
Fscn3	4	2	6	0	1	7	0	5	2	4
Tspan5	2844	1344	1865	1089	1873	1985	315	1558	1547	1089
Wwox	1159	413	597	451	718	1247	159	615	600	746
Scamp4	5752	3237	4021	2615	4061	4426	747	4468	3689	2882
Mpp5	8725	3484	4291	2155	4732	4484	1549	5537	4806	5230
Gde1	6050	2876	3316	2191	3707	3194	663	4008	1688	1403
Cacna1f	8	10	20	20	9	12	0	11	0	4
Il17rb	235	206	282	117	298	74	14	45	20	4
Espn	107	135	146	49	135	133	39	95	34	80
Plxnb3	91	36	24	45	45	24	6	47	8	10
Plce1	13918	2891	3242	2103	4128	18072	1552	6075	6258	12651
Cbln1	18	30	4	2	10	14	2	50	33	4
Tmem45a	708	610	678	367	843	315	36	1156	370	155
Napb	529	245	243	194	344	266	62	106	98	132
Tspan7	7842	3852	4603	2761	4556	13886	960	3509	3376	6887
Styx	637	300	359	165	461	658	91	809	691	728
Ubc	9705	5810	6892	3936	6810	8219	1168	4553	3870	3613
Stmn1	8850	2857	3582	2238	3841	16575	1626	11276	17850	18203
Rpl21	50907	22017	25702	14551	27146	53327	10370	52857	41697	42736
Metap2	32019	10098	12608	7334	13823	18393	3511	16593	14127	12579
Clptm1	13148	6909	8740	5359	9132	17327	1726	11390	7900	9619
Ptpn9	7990	3876	5652	2858	5068	12106	1007	6112	4621	6274
Socs5	8890	3108	4009	2113	4482	18021	844	6220	5529	8738
Tspan6	400	242	238	196	318	78	18	636	54	22
Hsd17b12	18830	7321	9553	5166	9971	18837	2900	12604	8348	10542
Mycbp	2043	794	874	584	1091	1787	314	1450	1006	1132
Ykt6	11491	6102	7514	4590	8098	13138	1755	9681	7141	9147
Rrad	1361	697	901	475	805	870	121	490	498	788
Pias1	3334	1607	1962	1125	2058	3461	393	2038	1465	1784
Stam2	6441	2554	3456	1784	3627	7942	1126	3899	2765	4104
Diaph3	3113	1205	1694	809	1665	3077	292	3768	3012	2602
Actl6a	8204	3333	3827	2392	4440	7040	1223	7438	6189	5456
Ncs1	5895	2897	3316	1943	3226	11827	1411	4264	3592	6714
Dynll1	18952	6680	7576	4768	8525	16672	2577	14344	12875	16077
Srpk3	253	121	197	121	191	24	12	22	4	7
Ruvbl1	8312	2652	2736	1919	3377	7655	1253	4936	5510	6273
Cib2	189	108	76	102	116	131	6	109	74	47
Letm1	5319	3206	4224	2360	3852	4026	903	3662	2034	2790
Cpxm1	3172	3285	3421	2981	4025	1098	224	7650	697	168
Kcnd2	92	56	132	22	88	10	4	18	0	0
Aldh18a1	7335	3101	4444	2443	4444	6978	1430	8079	6338	5414
Fads2	8953	4075	5049	3086	5197	10110	1894	4289	3399	7435
Clcnkb	55	47	57	38	36	11	2	13	0	0
Tmem115	3682	1977	2344	1482	2644	4622	398	3017	2693	3290
Cdh13	14701	7103	9258	5472	10312	38219	1434	9956	9515	14946
Smc1a	18010	6952	8564	4840	8785	14019	2450	12052	11862	12924
Rbx1	6869	3288	4051	2455	4637	8261	1062	7167	7449	6645
Stub1	5012	2241	2853	1669	2956	3948	554	3077	4011	4678
Mettl3	2189	932	901	639	1177	3110	282	2000	2293	2720
Arl2	3182	1799	2161	1280	2330	3281	357	1889	1455	1903
Snx1	7619	3942	4668	2887	5394	11200	1132	8399	5892	6452
Defb4	0	0	0	0	0	0	0	0	0	0
Nme3	1694	629	748	444	880	1007	192	1088	1185	953
Nme4	506	284	353	183	300	413	159	440	404	264
Asah1	43899	14369	17202	9495	19684	38053	4856	23856	18550	23602
B4galt6	26019	10434	13332	7330	14716	35237	6023	28857	32494	31121
Nupr1	6538	2587	2967	1878	2896	10274	986	5180	4156	5244
Foxo1	6595	3642	4766	2513	4228	7012	787	3502	3382	3291
Slc2a5	563	532	410	304	479	486	77	408	255	341
Tusc2	1332	799	1060	661	1026	1957	199	1177	1086	1237
Rybp	3283	1277	1447	801	1464	4777	747	2390	1940	3425
Pdcd10	7355	2607	3550	1665	3692	7375	886	6672	4896	5153
Pdcd5	4579	1393	1862	1142	2196	3405	583	2582	2923	3326
Zfp113	2252	896	1102	663	1233	1663	322	1231	1019	879
Gabarap	19309	10151	12732	7391	12830	20874	2942	15167	10504	11314
Naa80	1158	792	824	582	1032	1318	157	720	453	508
Htra2	2872	1528	1868	1339	2099	3145	439	2609	2345	3014
Cdh17	37027	9981	11415	7448	11925	121152	5320	43965	19789	75680
Tagln3	38	11	0	2	18	23	2	22	18	36
Plp2	17160	9434	11288	6681	11926	22609	2584	12182	9375	10888
Fzr1	6494	3848	4308	2713	4453	5445	757	5276	3678	3717
Dpt	710	556	922	452	814	380	42	2437	221	22
Serinc1	40712	14997	18787	9842	19933	26188	3523	19886	14271	14747
Amotl2	13221	8404	10787	6109	10371	8230	999	5759	5729	4322
Ptges3	12621	5506	6507	3632	6683	9803	2117	9915	7183	7025
Arpc1a	16217	6467	8175	4777	8648	11462	1615	8251	6493	7787
Chp1	25003	13103	16313	9566	17691	18216	3372	11728	8695	7724
Tmed2	11026	5101	5808	3207	6263	11234	1523	7610	4893	5534
Dstn	56096	24940	30523	17266	33231	53189	7814	48149	30807	26809
1110004F10Rik	10700	4508	5633	3204	5964	10842	1287	6631	5242	6275
Rab9	3665	1665	1790	1044	1906	3595	572	2039	1513	1960
Cpb2	4539	3163	4495	2227	4058	1070	320	573	1	1
Snd1	29078	13957	15678	10275	17437	36614	5519	29722	29000	29765
Ikbke	2457	1516	1906	1015	1881	1913	505	2405	1409	1050
Pex14	4152	2087	2696	1477	2923	3657	484	2905	2098	2437
Actr10	7663	3564	4367	2446	4884	9533	1444	7910	5182	5483
Tbk1	6347	2590	3296	1936	3501	3401	646	3568	2421	2124
Bloc1s6	3612	1571	2211	1394	2410	3763	495	2407	1839	1471
Tmeff2	1093	168	154	100	154	147	10	299	158	138
Maged1	24714	13416	16225	10589	17793	36347	3612	20686	15390	17312
Cyp3a25	5131	3957	4608	2327	4867	1162	419	671	0	0
Tspan3	11880	6171	7197	4199	7356	11904	1217	6997	5983	7329
Dnaja2	27572	10470	13219	7043	13776	24435	4160	16602	11911	16035
Rhcg	0	0	0	0	6	0	0	0	0	0
Acp6	2886	1308	1842	968	1687	3071	409	2411	2443	2199
Ggcx	5061	1928	2399	1376	2485	4649	609	2976	2638	2983
Ube2g2	9614	4167	5779	3341	5772	5344	924	4681	4074	3689
Anapc7	7616	3301	4160	2387	4311	6487	928	5300	3469	4238
Vapb	22013	8663	11043	6343	11856	15270	2076	12405	10163	11059
Acpp	262	180	278	60	283	99	22	210	22	0
Slc5a1	16	10	22	6	30	6	0	6	2	1
Acss2	2033	1025	1307	751	1264	1318	209	1039	775	509
Aatf	4111	1770	1973	1202	2201	4063	656	2942	2365	2525
Dusp14	632	482	644	304	552	352	71	322	81	145
Cbln3	301	153	230	110	212	138	32	160	141	42
Gltp	6068	4242	4704	2808	4510	5072	901	5601	4446	4088
Adrm1	9943	5702	7197	4540	7130	8346	1125	5931	4560	4697
Arpc3	14049	7825	8954	6033	9627	14568	2774	13496	6952	8146
Ivd	10119	5914	6996	3895	7379	11423	982	6014	4638	4717
Gkap1	3636	1122	1681	869	1609	3566	207	1960	2885	2570
Dipk1b	393	273	322	204	334	219	36	107	53	70
B4galt5	8492	4331	5219	3025	5784	6277	807	4113	2552	3700
Noa1	3065	1717	1894	1032	2035	2999	505	2347	1963	2073
Ctsf	1444	753	897	534	966	427	119	529	138	133
Atr	2649	1520	2097	1056	2074	1570	590	2905	2383	1911
Rpl36a	20970	10666	13081	6936	11937	19992	3248	13723	12274	14841
Spib	54	30	40	34	32	18	2	48	4	2
Rbm14	3991	2149	2491	1444	2446	5877	667	4547	3449	4126
Slc35g3	6	12	0	0	11	4	0	11	2	4
Dmrtb1	0	0	0	2	0	0	0	0	0	0
Fkbpl	634	297	367	231	319	590	74	386	296	308
Abcb9	255	211	201	153	184	222	22	226	104	125
Copz2	1057	585	840	435	833	649	77	1042	428	358
Suclg1	7984	5061	6002	3509	5894	8213	1427	6303	4261	4558
Dcpp1	0	0	0	0	0	0	0	0	0	0
Tdo2	11844	8651	11028	5347	10257	2700	955	1482	1	11
Ube2d2a	10318	3840	4375	2429	4876	11377	1664	8337	6345	7433
Txn2	8155	5294	6346	4074	6466	7917	1629	8582	4953	4162
Mllt11	2912	995	1067	571	1352	4128	487	1423	1658	2280
Art2b	3	6	14	14	11	8	0	18	4	4
Tlx3	0	0	0	0	4	0	0	0	0	0
Vmn2r26	0	0	0	0	4	2	1	13	0	0
Lamtor3	7377	2786	3437	1959	3444	6072	865	6125	4761	3920
Akap10	2338	1045	1297	746	1350	3027	506	2168	1439	1806
Crtap	9077	5123	6454	3553	6752	6531	879	5217	3204	3668
Rps6ka4	12394	6737	8581	5369	9254	17749	1905	14540	10523	14541
Gpr132	222	208	205	234	282	246	31	611	93	97
Arih1	14260	5643	6269	3748	6946	14868	1643	8810	8218	11012
Klk4	0	0	0	0	0	0	0	0	0	0
Ranbp9	9438	3250	3961	1984	4128	10894	1098	5663	5481	5819
Pf4	869	899	977	721	1074	2691	99	2247	450	991
Ptpn4	758	433	454	323	630	418	217	845	807	418
Ovol1	77	89	79	46	106	58	26	40	38	17
Cript	3458	1519	1971	1168	2293	4171	479	3395	2097	2492
Pmfbp1	4	12	8	0	8	0	0	0	0	0
Papolb	17	14	36	16	32	2	2	11	2	0
Mnx1	2	0	0	0	0	0	0	2	2	0
Mast1	980	632	646	498	708	631	118	398	483	570
Clec4e	662	539	488	339	612	405	37	2351	94	14
Ube2l6	1066	597	629	535	781	567	100	1494	793	219
Chst5	0	0	0	0	0	0	0	2	2	2
Sec11a	8285	2885	3667	2434	3911	9360	1043	5625	5733	6994
Cnpy2	5623	2729	3599	2192	3353	4342	680	3459	3676	2858
Krt71	0	0	1	0	15	1	0	0	0	0
Dnase2b	124	140	194	44	165	41	10	16	2	1
Hspb3	11	20	10	14	12	4	2	2	0	0
Stat2	3527	2363	2592	1739	2855	1696	318	2423	1483	970
Dnajb8	0	0	0	0	0	0	0	0	0	0
Brinp1	54	20	52	8	46	16	2	37	11	0
Plag1	758	329	315	146	339	893	33	403	491	717
Son	48075	23786	28903	16898	30998	46279	9672	35099	23718	21357
Hacl1	3050	1894	2363	1250	2424	950	239	698	478	246
Miox	55	28	26	4	32	4	2	6	1	0
Selenok	9506	4048	4636	2938	4929	11733	1130	6677	6304	7137
Litaf	17257	10397	12940	7702	12384	20264	3177	14392	10114	10539
Tex101	0	0	0	6	0	0	0	0	0	0
Habp4	5029	2655	3383	1675	3200	2931	452	2354	1851	1305
Sh3bgrl	14720	5122	6690	3268	6844	9348	2257	11349	9114	9714
Prl2a1	0	0	0	0	10	0	0	0	0	0
Aldh9a1	8284	3602	4828	2728	4566	8055	1962	7269	6450	5912
Glmp	13742	7276	8096	5011	8738	15381	1937	10394	8951	7758
Mtor	7544	4527	5660	3691	5783	7993	1351	5574	4686	5245
Cyp51	19500	9747	12143	6989	11869	17820	2931	13643	5923	13161
Fgf21	10	36	12	10	8	0	2	12	4	2
Magea1	0	0	0	0	0	0	0	0	0	0
Magea2	0	0	0	0	0	0	0	0	0	0
Magea3	0	0	0	0	0	0	0	0	0	0
Magea5	0	0	0	0	0	0	0	0	0	0
Magea6	0	0	0	0	0	0	0	0	0	0
Magea8	0	0	0	0	0	0	0	0	0	0
Mos	11	0	6	2	0	2	0	0	4	4
Rfc2	5507	2706	3399	2118	3622	4268	741	4616	3293	3257
Taf10	3817	2358	3072	1696	3232	5051	616	4302	1796	3443
B3galt2	24	24	24	4	20	16	4	32	9	14
B3galnt1	404	278	311	182	327	241	28	386	64	78
Lpar2	2489	1181	1145	829	1273	2938	632	1432	1380	1698
Raet1d	3	26	5	5	10	8	0	17	9	0
Ankrd2	1164	805	798	593	1092	293	73	176	0	2
H1f5	68	46	47	24	58	170	11	206	82	68
Calm4	0	0	0	0	0	0	0	2	0	0
Mocs1	4064	2884	3304	2180	3421	2938	512	2406	2066	1521
Lat2	712	437	593	357	537	639	105	731	128	258
Dhodh	1617	822	1029	606	1226	1820	341	1376	1169	1262
Tacstd2	26	20	14	6	38	8	6	122	0	0
Slc6a14	6	2	10	2	14	4	0	0	0	2
Tmem9b	3553	1971	2422	1173	2467	3433	353	3017	1504	1638
Ascl3	2	0	0	0	0	4	2	6	3	2
Scube2	66	30	64	24	48	16	4	36	2	0
Scand1	3123	1828	2546	1337	2589	3054	263	2926	917	1926
Hhip	150	64	112	94	108	546	18	29	0	452
Arhgap31	2226	1510	1695	1183	1663	1275	138	2143	426	176
Psg23	0	0	0	0	0	0	0	0	0	0
Zfp109	234	136	189	52	154	253	32	197	218	246
Pate4	13	0	3	4	2	0	2	10	4	6
Dkk2	11246	746	912	500	1182	4594	176	402	671	3273
Trim44	22813	8599	10523	6058	11158	18226	2327	8105	5255	9336
Klk1b27	0	0	0	0	0	0	0	0	0	0
Pdxp	205	129	215	139	125	242	32	250	89	122
Htr3b	0	0	0	0	0	0	0	0	2	0
Tnfrsf10b	3815	1670	2137	1170	2251	6157	617	3710	3316	3886
Trpm5	13	16	26	10	0	16	4	0	4	6
Lgi1	4	23	38	22	11	2	0	28	2	0
Ccl28	96	70	62	62	46	100	18	8	2	31
Magea4	0	0	0	0	0	0	0	0	0	0
Ctsr	0	0	0	0	0	0	0	0	0	0
Insm2	2	4	8	0	6	4	0	0	4	0
Olfr749	0	0	0	0	0	0	0	0	0	0
Olfr544	4	0	0	0	0	0	0	0	1	0
Olfr690	0	0	0	0	0	0	0	0	0	0
Olfr480	0	0	0	0	0	0	0	0	0	0
Cldn9	28	4	20	8	42	16	6	8	4	3
Lmbr1	3408	1713	2005	1122	2381	2717	494	1005	374	1299
Adam21	29	12	2	17	21	22	4	14	13	10
Ank	20780	8843	11604	6531	12041	80778	2120	12336	13292	42991
Sap30bp	4898	2101	2421	1520	2728	4838	772	3383	2754	2960
Bcam	10267	5602	6533	4225	6995	18172	1124	7843	10140	10968
Prss21	0	0	0	0	0	0	0	0	0	0
Ltb4r2	11	10	24	5	26	12	2	14	8	0
Znrd2	2648	1313	1727	1057	1936	2290	424	2099	1891	1718
Srf	5413	2966	3805	2291	3920	5231	632	4442	3352	3707
Slco1b2	1624	1173	1479	695	1349	384	99	210	0	0
Zfp276	3860	2134	2689	1368	2663	3335	401	2245	1705	2293
Tas2r105	0	0	0	0	0	0	0	0	0	0
Tas2r108	0	0	0	0	0	0	3	4	0	2
Tas2r119	0	0	0	0	0	0	0	0	0	0
Cldn13	0	0	0	0	0	0	0	2	0	0
Tob2	6756	3312	4134	2302	4219	8731	1133	4003	4727	6104
Retnla	160	106	199	100	149	322	12	608	64	26
Fzd2	2478	1110	1120	850	1416	2968	200	1332	1458	1651
Olfr1508	0	0	0	0	0	0	0	0	0	0
Olfr1509	0	0	0	0	0	0	0	0	0	0
Olfr140	0	0	0	0	0	0	0	0	0	0
Slc16a8	47	13	14	10	37	52	4	34	31	45
Lenep	486	187	226	143	296	229	48	188	145	126
Vsig2	322	215	299	189	323	60	29	114	30	2
Slurp1	60	33	68	34	46	123	18	52	24	24
Slc25a20	3383	1605	1866	1231	2110	2783	365	1946	1674	1573
Cmpk2	154	118	96	92	112	100	36	602	344	64
Mrps31	3060	1188	1715	925	1698	2845	520	2449	1682	1616
Smpdl3a	2824	2086	2643	1515	2942	1436	216	2350	992	270
Scgb1b2	0	0	0	0	0	0	0	0	0	0
Sult5a1	104	53	108	50	86	31	9	62	0	2
Sult3a1	8	2	0	0	0	0	0	0	0	0
Gmnn	4053	1876	2407	1300	2484	2825	443	3338	3294	2299
Park7	13913	6954	7910	4978	9170	10103	2052	11165	12199	10727
Xrcc2	948	454	586	315	543	977	132	910	626	757
Marchf7	10937	4350	5842	3025	6364	6250	1528	5330	3640	5384
Psors1c2	30	4	6	12	8	12	2	11	1	17
As3mt	2526	1126	1426	665	1247	3101	333	2132	1999	2495
Ehd3	471	470	442	400	574	151	28	457	124	12
B4galt3	3750	1845	2110	1445	2372	4921	875	3436	3651	3865
Nelfcd	4641	2213	2731	1767	2923	3943	444	2766	2387	2453
Angptl4	9497	4072	4634	3123	4932	10020	1161	10555	5673	6893
Atp5j2	11540	6624	7791	4788	8295	8883	1605	7999	6223	6926
Terf2ip	4091	1724	2231	1394	2493	3527	543	2012	1941	2279
Herpud2	4034	2381	2887	1644	2797	5995	462	2938	2281	3561
Gabarapl1	14312	6446	7835	4948	8409	14804	2369	6840	7849	9769
Zc3h8	757	322	414	181	522	758	132	474	448	477
Otor	0	0	0	0	0	0	0	0	2	1
Egr4	0	0	0	8	6	0	0	2	0	4
Msmb	0	2	0	1	0	0	0	0	0	0
Olfr17	0	0	0	0	0	0	0	0	0	0
Rps14	107937	54972	67341	39240	69399	111343	15701	96556	79810	95050
Tbl1x	10923	5141	6059	3338	6358	11635	1493	5885	5741	7385
Wdr46	4101	2628	3075	1778	2931	4065	773	3370	2797	2992
Jph1	330	292	384	184	284	270	18	222	234	113
Jph3	28	24	20	10	6	10	4	18	10	16
Parva	21565	10782	13220	7947	14019	19338	2323	13412	11088	9791
Cramp1l	5215	2986	3569	1949	3648	6380	841	3607	3097	3826
Nrip3	100	38	45	42	56	22	5	18	32	5
Srd5a3	2738	1545	1906	1249	2015	2594	386	1945	1196	1485
Taf1b	1648	900	1065	679	1234	1921	393	1778	1423	1137
Akip1	1021	412	627	313	587	662	104	656	555	427
Smarce1	9875	3732	4707	2581	5094	12182	1578	8768	7592	8652
