Geneid	Length	genome_mapping/High.2838c3.rep1.RNAseq.mm10.sorted.bam
Sem1	491	14832
Shh	2667	392
Shmt1	2065	3416
Siah1a	2109	2691
Siah2	2488	1749
St3gal1	5784	10674
St3gal4	2086	9105
St3gal2	4470	8328
St6galnac2	2033	233
St8sia2	5375	44
St8sia3	6280	571
Six1	2849	144
Vps4b	3272	11487
Slc12a2	6520	76040
Slc16a1	4430	19027
Slc16a2	4157	4254
Slc1a1	3739	61
Slc1a6	2089	11
Slc1a5	2758	5129
Slc22a1	1993	1052
Slc22a12	2253	0
Slc3a1	2305	660
Slc6a2	6073	90
Smarcc1	5673	15367
Ighmbp2	5562	3156
Smpd2	1602	2047
Sst	599	4
Sstr1	3869	0
Sstr4	1388	199
Ssty1	1285	0
Snn	2905	3539
Snrnp70	4100	26431
Snrpb	1121	16996
Snrpd1	837	8124
Snrpe	492	8365
Snta1	2115	3022
Soat1	4785	9344
Sos1	8919	4964
Sox1	4037	0
Sox11	8451	3237
Sox15	1138	8
Sox18	1619	728
Sox3	2065	0
Sox4	4780	47640
Serpina1b	1425	43939
Serpina1c	1424	11083
Serpina1d	1442	24332
Serpina1e	1373	2846
Serpina3n	2085	46142
Serpina3m	1659	9523
Serpine2	2055	7836
Serpinb9	3397	9779
Spink1	422	32
Sptbn1	11019	84284
Sprr1a	790	22632
Sprr1b	820	28
Sephs2	2181	12068
Mucl2	638	0
Mucl1	941	6
Sptlc1	2570	7719
Sqle	2748	13336
Srm	1328	4622
Srp14	790	8738
Srprb	2991	4711
Stat6	3805	12668
Stc1	3743	2552
Sult2a2	741	0
Wnt8a	1520	10
Stra8	1469	0
Stx4a	1358	7438
Supt6	6201	20871
Surf6	2996	3701
Sva	651	0
Svs4	575	0
Svs5	601	0
Swap70	4035	4656
Syngr1	4465	1386
Syngr2	1524	14820
Syp	2482	94
Syt4	3901	22
T	2046	6
Tacr1	5026	52
Tacr2	2258	2
Map3k7	5762	7281
Tal2	2973	16
Slc6a6	6169	41031
Tbca	550	18809
Tbr1	3976	6
Tbx15	3567	162
Tbx2	3562	725
Hnf1a	3186	3393
Tcf15	931	38
Vps72	1436	7408
Acat2	2076	4425
Tcp10b	2065	0
Dynlt1b	770	131
Phlda1	1953	8864
Tectb	2884	0
Inmt	1023	447
Adad1	1972	0
Tep1	8163	6171
Prss40	1301	0
Tex261	1454	6967
Tex9	4317	533
Tfam	3918	4512
Tff1	478	1357
Tff2	571	1547
Tgfb3	3385	5396
Tgfbi	2737	7122
Tgfbr2	4788	18267
Tgm2	3549	57154
Tgm3	4144	2
Tg	8436	96
Ift88	3079	1376
Th	1783	0
Thbd	3718	3124
Thrsp	1102	598
Thy1	1735	2982
Nkx2-1	2832	32
Tkt	3229	48159
Tll1	4943	2227
Ran	2288	43225
Tlx2	1434	0
Tnnc1	721	13395
Tnnc2	692	1596
Tnfaip2	3570	11072
Tnfaip6	1601	363
Tnfrsf11a	5022	692
Tnfrsf18	1030	373
Tnfrsf8	3436	41
Pglyrp1	681	942
Tnfsf8	2228	161
Tnfsf9	1230	887
Tnni2	724	3115
Tnni3	912	13464
Tnp1	426	0
Top1	3846	17235
Top2b	5633	15443
Top3a	5590	2086
Tpbpa	1573	0
Tpi1	1469	91498
Tpo	3297	20
Traf4	3016	10954
Tnfsf10	4944	192
Trh	1384	0
Tob1	2285	6499
Trpc5	8502	8
Tpt1	894	326102
Prss2	826	22
Ctr9	4300	7129
Tspyl1	2696	5862
Phlda2	737	587
Tssk1	1451	28
Tssk2	1388	35
Tst	1102	2806
Rpl13a	1026	131602
Psmd3	2147	15934
Tsx	819	10
Ttc3	7295	17302
Ttf1	4153	3163
Tgoln1	5024	14284
Tgoln2	2236	0
Tuba3a	1552	8
Tuba1c	1977	10058
Tuba3b	1567	8
Tubb2a	1605	6735
Tubb4a	2051	303
Tnfsf4	1609	36
Zrsr2	5996	5903
Ube2e1	1386	2544
Ube2l3	2609	10552
Sumo1	1215	5271
Ubr1	7761	8144
Ucp1	1644	21
Ucp3	2448	46
Ugdh	2442	72694
Ugt2b5	1893	1065
Uox	1843	4402
Prap1	622	422
Upk2	874	0
Urod	1489	3904
Usp9x	11902	30160
Utf1	1160	0
Vmn2r123	3032	0
Vmn2r37	3078	0
Vmn2r42	3619	0
Vamp2	2164	3979
Vamp3	2115	7860
Vav2	5911	11000
Vax1	3091	0
Vcl	5267	31522
Vcp	3315	32249
Vdr	4354	1430
Vegfc	1881	2604
Vhl	2758	3419
Slc32a1	2805	0
Vil1	3117	5626
Ezr	3070	150007
Vipr2	3385	90
Slc27a5	2330	5539
Nrsn1	2137	0
Was	2094	420
Zmat3	7782	2496
Wnt10a	1961	748
Wnt2b	3573	213
Wnt3	3115	10
Wnt3a	2751	0
Wnt4	3823	2170
Wnt6	2068	22
Gm4836	907	0
Atrx	10244	16718
Xpc	3632	4700
Ywhae	2078	66261
Yy1	5854	21793
Zfp101	2731	796
Zfp105	2004	82
Trim25	5563	10708
Zfand5	7385	19136
Zfp42	1801	0
Zfp60	4057	1347
Zfp61	2347	469
Zfpm1	4001	14675
Zfy1	2785	0
Zfy2	2816	0
Zic2	2967	0
Zic3	4035	31
Zik1	4191	118
Slc30a1	5230	2458
Zp1	1925	4
Zp3r	2034	8
Dnajc2	2037	9501
Aanat	1455	13
Abcb7	5759	5745
Abcg1	5818	1820
Scgb1b27	495	0
Chrnb1	2149	7306
Chrnb2	5384	132
Chrne	1591	10
Chrng	1921	2
Adipoq	1232	62
Actc1	1459	7093
Actg2	1315	419
Actl7a	1504	11
Adam2	2594	35
Adam4	2597	70
Adamts1	4883	11568
Adcy1	12314	1063
Adh7	2079	1496
Adm	1394	3062
Adora3	2372	36
Parp2	1819	2793
Adra2b	4043	70
Adsl	3712	5829
Avil	3033	6961
Crisp1	1416	6406
Crisp3	1417	10
Angpt4	2338	225
Aicda	2397	0
Akap3	3153	8
Alb	2061	536289
Akr1b3	1402	0
Alox12b	2347	0
Alox15	2414	796
Alox8	3273	16
Alox5	2827	805
Amd1	3206	0
Ank3	10685	9399
Ankfy1	8034	10783
Anp32a	2092	22342
Anxa5	1723	76811
Aoc3	4396	440
Aox1	4382	6078
Ap3b1	4020	14981
Ap3s2	5804	3731
Apex1	1307	7196
Cd5l	2037	580
Apoa1	988	104160
Apob	13909	117255
Apobec2	1218	671
Nr2f2	4870	2975
Aprt	866	17684
Aqp2	1416	43
Aqp5	1551	3703
Areg	1215	5924
Arg2	1417	197
Arhgap5	5196	11407
Rnd2	1394	1216
Art1	1417	964
Arsb	3989	2496
Arsa	3491	5192
Neurod6	2153	0
Neurog2	2226	0
Neurog3	1540	2
Atox1	514	4995
Atp1b1	2590	31049
Atp4b	1327	0
Atp10a	5469	3026
Atrn	8738	7966
Akr1b7	1248	1335
Avp	611	2
Cep131	3578	2748
B2m	858	25181
Bche	6209	2728
Bckdk	2857	4395
Bcl10	1957	6187
Bcl2	7349	4005
Bcl2a1a	796	208
Bcl7b	1666	4127
Bdkrb2	1680	158
Bet1	1474	2996
Bex2	902	27
Glb1	2487	3738
Bmp10	1325	12
Bmp15	3116	4
Bmpr1a	5481	10687
Bmx	3005	112
Bnip3	1756	18807
Bnip3l	3237	13637
Bst1	2336	9732
Brca1	6648	2332
Brs3	2772	0
Chic1	7401	929
Klf5	1725	8164
Bub1b	3669	6818
Tspo	856	19825
Serping1	1820	12814
C1qb	1104	8024
C3	5139	288316
C3ar1	4299	1727
C4b	5393	43908
Cacna1e	12697	0
Cacna2d3	3695	17
Cacybp	2115	7660
Calb1	2867	0
S100g	480	1012
Aspm	9866	3181
Camk4	12331	107
Capn2	3318	33991
Capns1	1543	38459
Car6	1369	94
Cat	2551	19884
Casp1	1513	322
Casp12	2605	1027
Casp14	2331	0
Casp6	1475	4946
Casq1	1874	107
Ctnna1	3676	109138
Rb1cc1	7046	7819
Ccna2	3376	7483
Ccnd2	5771	11868
Ccng1	3487	7784
Ccnk	2632	3476
Noct	3069	1520
Cct3	1957	40594
Cct4	1966	20408
Cct6a	2171	30923
Cct8	2391	41301
Cd14	1661	14382
Cd24a	1816	48201
Cd2ap	5399	50202
Entpd2	1937	3975
Cd3g	1023	35
Cd7	1040	8
Cd8b1	1481	16
Cdc25c	1943	894
Cdh1	4432	59858
Cdh11	5116	4268
Cdh5	3986	4424
Cdh9	3424	73
Cdk5r1	4162	189
Cdk5r2	2704	16
Cdk6	11522	22307
Cdk7	7597	5883
Cdkn1b	2405	12459
Cdkn2d	1270	1492
Cdx1	1750	0
Cebpg	4702	6138
Cel	2079	6
Celsr1	11050	7479
Cer1	1742	0
Cfh	4365	25719
Cga	691	0
Ch25h	1365	284
Chat	2810	0
Chil3	1539	87112
Cideb	1173	352
Clca3a1	3899	7288
Clcn2	3645	5859
Cldn3	1263	6798
Cldn4	1811	2915
Tpp1	3553	11045
Cmas	1760	7396
Cxcr2	3043	397
Cxcr3	1609	16
Ccr1	2831	1834
Ccr3	3273	24
Ccr2	3589	900
Ccr4	2787	10
Ccr5	2926	1017
Camp	599	64
Cnn1	1987	77
Col10a1	3130	92
Col15a1	5319	5059
Col3a1	5564	114865
Col4a1	6632	78877
Col4a2	6450	45492
Col6a1	3976	37433
Colq	2835	61
Copa	4629	38626
Cox5b	569	8811
Cox6a2	659	5872
Cox7a1	366	703
Cox7a2	754	5024
Cpt1b	2894	69
Cpt2	2350	3306
Igf2bp1	8381	3506
Pcdha7	5334	0
Pcdha5	5376	0
Pcdha11	5254	0
Pcdha10	5242	0
Ptgdr2	2644	15
Cry2	4001	4241
Crygs	708	0
Csf2	1033	335
Csf2ra	1849	2398
Csf3	1363	116
Csnk2a2	3766	5811
Cst3	796	31902
Cst7	986	12
Cst8	703	0
Cst9	686	0
Ctsd	1917	79489
Ctsl	3509	105987
Ctsw	1438	227
Cx3cr1	3753	602
Cyct	658	0
Cyp11b2	1930	2
Cyp1a2	1892	3020
Cyp21a1	1923	2939
Cyp24a1	3311	20
Cyp2a4	1715	4
Cyp2b10	1878	342
Cyp2b9	1877	12
Cyp2c37	1824	1205
Cyp2c38	2869	228
Cyp2c40	1801	0
Cyp2d10	1647	4697
Cyp2d9	1651	8497
Cyp2j5	3651	995
Cyp2j6	3595	1467
Cyp27b1	2421	26
Cyp46a1	2183	208
Cyp4a10	2086	203
Cyp8b1	1950	237
Cd55	2534	764
Dapk2	1769	366
Slc6a3	3456	0
Eci1	1091	5016
Dct	2263	0
Ddt	609	2376
Ddx3x	4571	68655
Defb2	304	0
Defa4	167	0
Des	3065	26284
Ackr1	1158	148
Dgat1	1934	3274
Dhfr	5290	2344
Dio2	6415	42
Dkk1	2236	0
Dlx1	2780	475
Dlx2	2473	152
Dlx3	2609	75
Dlx5	1410	0
Dlx6	1071	2
Dnah11	14072	25
Trdmt1	2637	958
Dok2	1717	1245
Dpm2	861	2573
Drd2	2762	2
Drp2	6983	64
Dsg1a	5627	0
Dspp	4440	0
Adam18	2361	0
Adam26a	2491	0
Adam24	2887	0
Usp17lc	1697	0
Dusp2	1618	200
Lefty1	1621	1074
Opn3	1769	272
Edar	3680	16
S1pr3	4484	934
S1pr4	2393	53
Edn1	2139	628
Eef1a1	1789	795584
Efna5	5259	5206
Efnb1	3358	9471
Efs	3571	214
Klk1b22	855	0
Egfbp2	856	0
Klk1b9	870	0
Ehd1	3182	13406
Eif3a	5176	97685
Eif4ebp2	1786	6101
Emx1	1173	1
Emx2	2598	24
En1	2554	2507
En2	3562	34
Epas1	5352	14246
Epha2	3932	35310
Ephb3	4145	1037
Epm2a	1079	128
Epor	1829	70
Nr2f6	2218	12455
Erbb3	5999	7231
Erbb4	12036	112
Erf	3503	6463
Samd9l	5328	5030
Esr2	3362	18
Khdrbs3	1893	868
Ext1	3464	17683
Eya3	5199	4318
F2	2031	14038
F2r	3338	93545
F2rl2	2464	46
F3	1876	11525
F7	1855	2572
Faah	3924	2217
Fabp3	680	4172
Fadd	2876	1089
Fah	1585	8304
Fbn2	10480	2212
Fbrs	4401	6136
Fcer1a	1026	8
Fcer1g	658	1914
Fcgr1	2589	718
Fcnb	1062	0
Fem1a	6816	6661
Fem1b	6490	13085
Fes	2762	2197
Lgr5	4711	826
Fgf1	3909	5822
Fgf14	3442	6
Fgf4	3032	0
Fgf6	1232	0
Fgr	3342	821
Fh1	1632	8598
Fhl3	1685	4000
Fhl4	2670	46
Il4i1	2047	4
Ccn2	2402	79855
Fjx1	2427	4404
Fkbp4	2194	28953
Fkbp5	3884	27199
Foxf2	2366	5036
Foxs1	1311	188
Flt3	3656	40
Fos	2109	33279
Fosl1	1705	1051
Fpgs	2263	5367
Fth1	1511	181160
Ftl1	970	129835
Fut4	3664	718
Fut9	11990	34
Fv1	1380	625
Fzd9	2110	46
Xrcc6	2113	3264
Gabrg1	4771	0
Galr2	1940	99
Gast	461	0
Gata6	3194	9850
Gbp2b	2820	9
Gbp2	2455	1685
Rabac1	875	12005
Gbx2	2126	102
Gda	5417	16939
Gdap1	3937	0
Gdap2	2934	3730
Gpd1	2798	3971
Gdf11	5833	316
Gdi1	2657	14665
Gem	2257	2952
Gfra3	1997	0
Ggh	1326	2623
Gja1	3105	8890
Gja10	1518	2
Gjd2	2879	0
Gjb5	1704	772
Gykl1	1915	0
Gk2	1894	44
Gclc	3631	34198
Gli1	3662	434
Glra4	1411	15
Gm2a	4256	7459
Gna11	3386	12789
Gna12	1880	8160
Gna15	1961	206
Gnai1	3193	2375
Gnai3	3273	41369
Gnal	6064	234
Gnb2	1656	36918
Gnb5	2647	975
Gngt1	967	0
Gng3	1699	28
Gng5	535	7357
Gng8	920	18
Gnpat	2984	10517
Got1	2057	20460
Got2	2385	16886
Gp1ba	4660	576
Emb	2622	2416
Gpaa1	2036	3517
Ednra	3643	1320
S1pr2	2815	1924
Gpr37	3205	26
Npbwr1	3692	4
Gpx5	1629	0
Gsr	2672	38502
Grb7	2397	5467
Grin2c	4895	25
Gsc	1174	2
Haspin	2811	610
Gsta4	958	20796
Gstm3	1202	484
Gstm5	911	2399
Gstt2	1370	733
Gsto1	1177	28708
Gtf2h4	1685	2519
Gypa	1827	38
Gzma	881	2
Gzmc	935	69
Gzmd	937	52
Gzme	923	585
Gzmf	909	12
Gzmg	910	4
H1f6	735	12
H2-Aa	1128	5547
H2-D1	1736	13711
H2-Ea	1043	6
H2-Eb1	1669	4323
H2-DMb1	1284	495
H2-DMb2	1810	329
H2-Ob	2670	36
H2-Q10	1473	7729
H2-T10	2897	247
H2-T23	1317	6854
H2-T9	1639	0
Hal	2776	4357
Hand2	2235	386
Hao1	2029	532
Hba-x	600	0
Hc	5421	6658
Hcn1	7911	90
Hcrt	584	0
Hdac3	2005	11477
Htt	13219	11659
Hbegf	2375	17827
Gml2	803	0
Hesx1	1137	6
Hexa	1996	6678
Hexb	1905	5931
Hey1	2205	704
Foxd3	2373	0
Foxf1	2425	373
Hira	4533	7732
H2ax	1359	2971
Hmox1	1576	6469
Nr4a1	2476	3956
Hoxa11	2288	2
Hoxa2	1775	54
Hoxa3	2543	96
Hoxa5	1877	173
Hoxa6	2254	26
Hoxa7	1951	29
Hoxb4	2566	202
Hoxb7	1269	62
Hoxb8	2645	44
Hoxc10	1913	16
Hoxc12	962	0
Hoxc13	2433	0
Hoxc6	1592	63
Hoxc8	2369	76
Hoxd1	1862	0
Hoxd3	2902	6
Hoxd4	2559	28
Hrc	2430	4050
Hs3st1	1685	3158
Hsd17b1	1339	37
Hsd17b7	4574	3577
Hspa1b	2810	12040
Hspa1a	2798	2328
Hsp90aa1	2850	83649
Hspa9	3042	82188
Htr1b	4728	416
Htr5b	2004	2
Slc6a4	2747	27
Elavl1	6030	9182
Elavl3	5027	14
Hyal2	1849	5057
Iapp	695	0
Icam1	2577	6780
Icam2	1282	286
Id2	1272	16898
Ids	4972	7208
Ier2	1522	14100
Ier5	3270	7525
Ifit3	1998	866
Ifna1	570	0
Ifna2	573	0
Ifna4	644	0
Ifna5	570	0
Ifna9	573	0
Ifnar1	7013	12746
Ifnb1	770	0
Ifngr1	2110	16529
Igf1r	11978	11201
Igf2r	8929	16962
Ccn1	2028	22587
Igfbp4	2094	105910
Igfbp5	5854	4822
Il10	1306	28
Il11ra2	2680	0
Il17a	1171	0
Il18rap	4889	2439
Il1a	1974	607
Il3	849	0
Il5	1534	3
Il6st	5452	17560
Inhbc	1976	252
Irs1	9163	5560
Irs3	2337	18
Irs4	6248	4
Irx1	2062	85
Irx2	2623	105
Itga2b	3437	631
Itga4	9832	1309
Itgb1	4194	157189
Eif6	1495	26210
Itih2	3122	27658
Itln1	1139	34
Itpr1	9877	5650
Itpr2	11823	3839
Jag2	4054	7618
Ajuba	3503	10547
Jun	3187	23476
Jup	5009	24785
Kap	608	0
Kcna1	8970	8
Kcna7	3494	100
Kcnab3	2537	154
Kcnh3	3967	35
Kcnj5	4679	507
Kcnk3	3810	1389
Kcnk7	1122	38
Khsrp	3999	18443
Kif11	4844	5912
Kif13a	6865	8134
Kif15	4823	1688
Klf1	1474	93
Klf12	5734	572
Klf4	3044	12170
Klf9	4480	21368
Klk1b11	863	0
Klk1b21	907	0
Klk1b24	874	0
Klk1b26	877	0
Klk1b1	867	0
Klra12	860	0
Klra9	1194	9
Klrd1	867	16
Kpna2	2038	5642
Hivep3	9021	184
Mafb	3389	2603
Krt31	1581	13
Krt10	2092	600
Krt12	1854	61
Krt17	1553	4
Krt18	1400	183811
Krt27	1564	2
Krt86	1960	8
Krt2	2613	0
Krt6b	2241	0
Krtap12-1	671	0
Krtap13	885	0
Krtap6-1	594	0
Krtap6-2	789	0
Krtap6-3	511	0
Krtap8-1	579	0
Krtap19-5	482	0
Lalba	733	0
Lama4	6046	2705
Lamc1	7622	43141
Laptm5	2416	4800
Lasp1	3541	49707
Lat	1268	76
Lats1	7215	8536
Lbx1	2524	26
Lbx2	819	12
Lcn3	719	1
Lcn4	774	0
Lcp2	3622	761
Lect2	877	819
Lgals4	1439	299
Lgals6	980	3
Lhx4	1851	10
Lhx8	1977	8
Lipg	3787	58
Lmnb1	2843	10274
Psmb8	1223	1012
Lmx1b	5377	2
Phyh	1474	8797
Loxl1	3338	3717
Anxa1	1395	70253
Zbtb7a	5373	12411
Lrrn2	3346	222
Lst1	416	120
Lta	1383	34
Ltbr	2107	12898
Cd93	6638	3258
Ly6d	691	74
Ly86	997	633
Lyst	11806	3986
M6pr	2515	21155
Mab21l1	2778	19
Mxd1	4661	6462
Mxd4	1179	4326
Mafg	1636	5920
Mafk	2825	8623
Mageb1	1143	0
Man1a2	7942	20372
Man2b1	4325	16898
Mapkapk5	2208	6502
Marco	1925	2764
Matn1	2002	0
Matn3	3014	42
Matr3	4472	28153
Mbd4	3584	762
Mbl1	923	504
Cd46	1948	69
Mcpt4	990	267
Cma1	1090	136
Tpsb2	1088	226
Mcpt9	2000	6
Melk	2914	2039
Meox1	2208	324
Mettl1	887	1118
Mgat3	4665	22368
Mif	581	22106
Minpp1	2619	6292
Bhlha15	3494	141
Afdn	7441	28796
Marcksl1	1601	10686
Mmp24	4306	1225
Mmp3	1800	3203
Ndst2	3907	3739
Mnt	4586	6045
Mog	1707	33
Morc1	3050	12
Psmd7	1600	21570
Mpg	1745	1534
Mpo	2546	69
Mrvi1	6416	362
Cited2	1969	13575
Msh6	4263	6177
Sik1	4523	12386
Msn	3840	115850
Mstn	2705	10
Msx1	1931	54
Muc3	5974	130
Muc5ac	10749	2039
Mx1	2975	176
Mycs	2362	0
Myd88	1937	2889
Myh4	6037	2890
Myo5a	11683	9645
Myoc	2080	12
Myod1	1854	6
Naip5	5292	490
Naip6	6705	112
Ncf2	3590	1681
Nck2	2775	11838
Ncl	8257	94974
Ncoa1	7329	2873
Ndn	1651	284
Ndp	1939	36
Ndufa2	602	7502
Ndufa4	497	15816
Ndufs4	1534	3531
Ndufs6	567	3757
Neb	22489	4535
Nek2	3197	3314
Neu1	3850	6528
Neurod1	2496	0
Neurod2	3137	0
Neurog1	1697	0
Nf1	11847	7466
Nfatc2ip	3388	676
Nfe2l2	3818	16000
Nfe2l3	2549	396
Nefh	3992	32
Nfkbia	1579	11724
Nefl	3381	18
Nfs1	2053	6086
Nfyb	2552	4293
Klk1b4	841	4
Nhlh1	2487	0
Nid1	6046	43648
Nktr	7015	13542
Nkx3-1	3137	0
Mrpl40	1055	2726
Rrp1	2008	27645
Emc8	4908	4235
Notch2	10506	39054
Notch4	6604	1510
Ccn3	2383	876
Nppc	1042	34
Npy6r	2586	0
Nsdhl	2218	3384
Nsmaf	3506	4644
Ntn3	4899	110
Nudc	1347	14028
Numbl	2733	5464
Gpr143	1651	4
Ogg1	1626	1280
Oit3	2716	559
Olfr23	978	0
Olfr242	917	0
Olfr32	1241	0
Olfr2	1250	0
Olfr263	954	0
Olfr48	906	0
Olfr49	1030	6
Olfr54	942	0
Olfr55	948	4
Olfr56	1215	0
Olfr58	1185	0
Omp	2089	337
Orc1	3012	521
Orm2	774	2138
Hspa4l	3558	16862
Otp	2617	2
Ott	2023	0
Otx1	2825	4
Oxt	540	0
Rpsa	1861	91211
P4hb	2861	125812
Pabpc2	2586	0
Prdx1	1417	50206
Reg3b	759	654
Pax7	4275	6
Pax8	2569	53
Pax9	4334	912
Pck1	2637	34088
Pcna	1260	14025
Pdcd11	6043	14609
Pde3b	5286	4793
Pde4d	7049	4535
Pdgfb	3122	7244
Padi1	3756	163
Padi3	3068	18
Padi4	2640	68
Per2	5837	3419
Pex11a	2291	1105
Pfn1	870	65773
Prf1	2054	10
Abcb1b	4344	12244
Abcb1a	5177	16619
Phex	6265	88
Phf2	5260	6908
Phkg1	2944	102
Piga	3600	2457
Pigr	3849	7277
Pik3c2a	8042	13251
Pik3c2g	6273	1154
Pira11	2101	0
Lilra6	2578	59
Pira4	2128	0
Pira7	2161	0
Pitx1	2448	20
Prkca	8369	5468
Prkce	6254	1269
Pkdrej	7058	80
Plaur	1508	17906
Prl2c3	852	3
Pa2g4	2432	20191
Plk1	2214	2640
Plod1	3252	7740
Ccl21a	868	0
Pltp	1806	1622
Bpifa1	1104	0
Pnliprp2	1568	226
Polb	1227	2488
Pold1	3424	5187
Pole	7129	4787
Pole2	1695	636
Pon1	1513	2042
Pou2af1	2566	78
Pou2f3	2522	26
Pou3f1	3010	38
Pou4f1	3796	6
Ppard	3218	6285
Ppef1	2483	53
Ppef2	2870	64
Ppib	960	8817
Lgals3bp	2201	16176
Ppp1r17	1757	0
Ppp5c	2069	7219
Prep	6473	8750
Prkdc	12674	2780
Mapk11	2442	2684
Eif2ak2	4326	3645
Prl4a1	865	0
Prl7a2	1277	0
Procr	1504	5531
Prodh	2283	4998
Pros1	3299	15997
Prh1	870	0
St14	4017	972
Prtn3	970	825
Psmb1	1036	15201
Psmb5	871	4480
Psmb7	969	22078
Psme1	977	8853
Psme3	2664	9508
Pstpip1	1851	1189
Ptcra	1283	2
Ptgfrn	5786	40434
Ptgs2	4460	7857
Ptp4a1	4129	898
Ptpn1	4213	11607
Ptpn13	8282	17616
Ptpn18	1573	434
Ptprf	7648	25155
Ptprn2	4688	94
Purb	8478	18257
Pxn	3808	18926
Pygm	2870	5377
Rab19	1396	35
Rab20	1450	1434
Rab33a	1166	78
Rad51	2144	2561
Rad9a	2046	2473
Ranbp1	852	20227
Ranbp2	9476	25558
Rasgrp1	5114	318
Rbbp6	7770	14007
Rbm6	3989	7298
Rbp1	2627	8683
Reg3a	837	6
Reg3g	773	596
Rest	4266	4057
Rev3l	10665	2529
Rgs16	2335	970
Rhag	2316	21
Rhd	1514	61
Rnase1	970	62
Rln1	697	6
Xpr1	7651	5884
Uri1	3451	7308
Trim10	2245	12
Ros1	7401	62
Rpa2	1782	2029
Mrpl23	669	1039
Rpl27	734	14626
Rpl6	1250	88689
Rpl7	933	74892
Rpl9	725	57959
Polr2j	586	3359
Sub1	3321	8377
Rps12	518	55829
Rps18	549	90886
Rps6ka2	5407	2729
Rps7	961	57051
Rs1	5840	10
Ruvbl2	1675	7060
S100a1	615	9092
S100a4	499	13484
S100a5	432	16
S100a6	719	150207
Saa3	531	2035
Saa4	2100	933
Khdrbs1	4782	14415
Apcs	984	4424
Nkx1-1	1323	10
Scn1b	1593	767
Scnn1a	3498	3363
Scnn1g	2998	32
Scp2	2664	12734
Ccl1	505	0
Ccl11	1073	415
Ccl12	536	185
Ccl17	514	454
Ccl2	806	1220
Ccl3	790	422
Ccl9	3008	4895
Cxcl15	2127	159
Serpinf1	1494	6102
Sec22b	1815	8640
Sele	2912	136
Selp	3438	1140
Sema3e	6861	7047
Sema7a	3298	2334
Serf1	589	2460
Frzb	2920	971
Srsf2	1903	26968
Sftpc	803	1138
Shbg	1407	41
Shcbp1	2169	2567
St6galnac1	2392	0
St6galnac3	3885	49
St8sia1	8995	16
Sim1	7355	4
Sim2	3670	146
Six2	2108	26
Six3	3680	0
Six5	2853	1349
Six6	4019	0
Slc10a2	4088	452
Slc34a1	3081	0
Slc20a2	3658	20663
Slc22a3	3499	47
Slc23a1	3009	803
Slc25a17	1667	5981
Slc2a1	2572	28655
Slc2a3	3959	754
Slc34a2	4174	244
Slc4a1	4550	24
Slc7a5	3513	12716
Slfn1	1893	285
Slfn2	1664	3712
Slfn3	1816	63
Slit3	4996	2229
C4a	5367	2286
Slpi	876	1892
Snai2	2031	461
Kdm5d	5471	1146
Smpd1	2412	4544
Smr3a	663	0
Siglec1	6387	2013
Snai1	1618	701
Sncg	732	321
Snrpc	760	3414
Sod1	637	35940
Sod3	2045	4020
Sox10	2713	4
Sox12	4435	592
Sox13	3531	2943
Sox14	2065	0
Sox2	2466	1100
Sox7	3266	268
Sox8	2999	14
Sox9	4146	9106
Serpinb9b	1959	7943
Serpinb6b	2138	15282
Serpinb9g	1923	0
Serpinb9e	1923	10
Serpina3k	1652	57956
Serpinb9d	2106	0
Spic	1265	71
Spink4	393	55
Spta1	8405	109
Spr	1226	5710
Sprr2a1	3547	0
Sprr2b	699	0
Sprr2d	681	2
Sprr2e	647	35
Sprr2f	609	2
Sprr2h	752	24
Sprr2i	617	0
Sprr2k	639	60
Sptlc2	6710	14526
Srms	2547	44
Snu13	1257	4778
Znrf4	1236	0
Star	4046	616
Stat3	4520	18767
Stc2	1793	329
Plk4	3547	4597
Aurkb	1965	1998
Bhlhe40	3113	34241
Strap	2644	26996
Strn	7994	6253
Stxbp3	2406	7223
Stxbp4	6008	1146
Eif1	1261	27701
Supt4b	710	73
Surf4	2863	37907
Sycp1	3437	304
Sycp3	1122	59
Sdc1	3056	57224
Sdc3	4972	5418
Sdc4	2460	50760
Syngr3	1959	18
Tagln	1586	5660
Taldo1	1276	9297
Tap2	2490	1929
Tbx3	4837	368
Tbx4	3456	22
Tbx5	3941	271
Tbx6	1715	54
Tbxas1	1978	1058
Tcap	948	5993
Tcea3	1247	832
Skp1	1454	20028
Tcf21	1241	60
Tcp10a	2466	6
Tcte3	1426	0
Tdgf1	1927	3
Sry	1188	0
Alyref	1132	6870
Tesk1	3620	3230
Tff3	458	186
Tgfb1	2175	9952
Tgfbr3	6090	3160
Tgtp1	2809	79
Thbs2	5922	11729
Thbs4	3202	2841
Theg	1249	0
Nr1d2	4640	8688
Tie1	3879	2005
Trim28	3242	25700
Timm44	1782	7842
Timp2	3622	62441
Timp3	4681	21023
Atp6v0a2	5345	10745
Fabp9	646	0
Tln1	8560	52339
Tbpl1	2875	2679
Clec3b	992	224
Tnfrsf17	812	2
Tnfrsf1a	2155	16947
Tnfrsf1b	4913	5376
Cd40	1784	212
Tnfsf11	2235	235
Tnfsf12	1694	416
Cd40lg	1250	0
Cd70	842	0
Top2a	5217	15257
Ppp1r13b	4333	3263
Tmem165	1896	10443
Nr2c1	3827	2390
Hsp90b1	2759	131182
Traf5	2110	547
Traip	2697	772
